,000,10,100,11,12,13,14,15,16,17,18,19,20,2010,2011,2015,2016,2017,2018,2019,2020,2021,2025,21,22,23,24,25,26,27,28,29,30,31,32,35,40,50,59,60,61,62,63,64,65,66,67,68,69,70,aan,aanpak,aantal,advies,af,al,alle,alleen,als,and,andere,antwoord,artikel,basis,bedrijven,belang,betreft,bij,bijlage,bijvoorbeeld,binnen,brief,daarbij,daarnaast,dan,data,datum,deel,den,deze,die,dit,doen,door,dus,eerste,eigen,er,eu,euro,europese,extra,figuur,financiële,for,gaan,gaat,gebruik,geeft,geen,gegevens,geldt,gemaakt,gemeenten,geval,geven,goed,grond,grote,haag,hebben,heeft,hier,hierbij,hoe,https,huidige,hun,ii,ik,indien,informatie,ja,jaar,jaren,kabinet,kader,kamer,kan,kenmerk,km,knooppunt,komen,komt,kosten,kunnen,leden,lid,maar,maatregelen,maken,mbo,meer,mensen,met,miljoen,minder,minister,ministerie,moet,moeten,mogelijk,na,naar,nederland,nederlandse,nemen,niet,nieuwe,nl,nodig,nog,nr,nu,of,om,omdat,on,onder,onderdeel,onderwijs,onderzoek,ontwikkeling,onze,ook,op,opgenomen,over,overige,pagina,partijen,per,periode,personen,problemen,programma,raad,rapport,regeling,regio,respondenten,resultaten,risico,rws,samen,samenwerking,scholen,sector,sprake,staat,tabel,te,ten,the,to,toe,tot,totaal,tussen,twee,tweede,uit,uw,vanuit,veel,verder,verschillende,via,voor,vraag,vragen,waar,waarbij,waarin,was,wat,we,wel,welke,werd,werken,wet,worden,wordt,www,zaken,zal,ze,zich,zie,zien,zij,zijn,zo,zoals,zorg,zou,zowel,zullen,één
498,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,2,0,1,0,0,4,0,1,0,1,1,4,0,0,0,1,0,1,0,0,1,1,3,8,3,0,0,6,0,1,0,1,0,0,0,0,0,0,0,1,2,0,0,0,7,0,1,0,0,0,0,0,1,3,2,3,0,1,0,0,1,2,0,0,0,7,3,1,2,0,0,1,1,4,0,0,0,0,0,1,0,3,0,3,0,0,1,2,10,0,0,0,0,0,1,0,0,2,0,0,2,3,0,1,0,0,0,0,5,5,0,0,1,0,0,0,0,0,5,10,1,6,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,0,0,0,0,3,0,0,0,1,0,1,0,0,0,0,0,3,0,3,3,0,0,0,1,0,0,1,0,0,0,4,8,1,1,0,0,0,0,1,0,2,2,0,0,0,0,2,1
499,6,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,3,1,4,1,6,0,1,0,1,0,0,4,1,8,0,0,0,0,0,2,2,0,3,2,1,4,13,4,2,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,1,1,1,1,0,3,0,0,1,0,0,0,0,3,0,0,0,4,2,0,0,1,2,0,0,0,2,0,0,1,0,1,1,0,5,2,1,0,14,0,0,1,1,0,0,2,1,3,1,0,3,3,0,1,1,4,0,1,2,6,1,1,1,0,5,1,0,3,5,19,0,5,0,3,1,2,2,0,0,0,0,3,0,0,0,0,0,0,1,5,1,0,0,0,0,15,0,0,0,0,7,0,0,1,2,6,0,1,0,1,0,1,14,0,1,1,1,0,0,1,0,0,0,0,0,2,0,0,1,1,1,0,2,0,1,0,13,7,0,1,0,1,0,0
500,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,1,4,1,0,1,2,0,0,2,0,2,1,2,8,7,3,1,1,0,0,0,3,0,0,0,0,0,0,0,1,1,0,1,1,0,0,1,0,0,2,1,0,0,2,8,5,0,1,0,5,0,1,0,8,1,0,0,2,0,0,0,2,0,3,0,0,1,0,0,1,2,0,0,0,1,0,1,0,4,0,0,0,0,1,0,0,1,0,0,0,1,5,3,8,0,2,1,0,2,8,1,0,0,0,0,0,0,0,7,6,0,15,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,15,3,0,0,0,2,0,2,0,2,2,1,0,0,4,0,1,6,0,0,0,1,0,0,3,0,0,1,0,0,0,1,6,8,1,4,0,3,0,0,2,4,0,1,1,0,0,0,3
503,38,34,32,21,22,34,28,31,31,70,8,21,19,22,16,9,5,28,20,66,7,5,3,9,5,6,10,16,6,7,3,34,5,5,4,5,6,8,1,4,1,2,0,1,14,1,1,3,0,0,126,9,39,0,9,9,18,8,60,0,27,99,18,18,0,2,30,90,0,26,13,18,6,8,38,5,27,50,4,144,131,61,2,55,7,3,1,34,1,17,0,6,0,5,1,5,19,18,1,81,57,16,38,17,23,9,2,5,4,4,23,67,44,10,34,6,0,14,2,16,22,15,7,139,16,4,10,31,20,0,0,0,7,10,205,16,14,41,15,2,31,5,23,18,151,16,7,44,23,5,0,20,3,123,44,13,1,372,8,9,0,4,10,11,67,34,13,0,43,3,28,4,3,22,48,278,12,95,14,29,0,17,9,84,1,14,0,0,7,0,0,2,0,0,0,1,1,9,8,6,27,116,35,0,0,18,60,48,11,5,29,76,12,6,7,6,12,14,237,117,78,3,3,5,9,57,1,29,50,1,2,9,79,115,6,41,5,2,54,22,0,8,145,26,24,25,0,10,1,10
504,6,876,381,234,139,171,354,427,105,38,191,81,1502,1,5,655,0,0,0,0,0,0,0,226,96,75,170,239,66,90,107,50,408,113,63,493,316,719,25,168,15,21,20,11,87,20,40,118,53,211,187,0,32,1,3,62,25,107,121,0,1,0,2,10,0,0,24,52,39,10,1,0,0,1,311,0,27,6,1,19,118,96,1,124,28,2,10,42,15,0,0,0,0,0,0,0,1,109,1,437,13,155,120,0,12,6,2,487,1,0,22,18,3,8,0,0,7,0,2,1,24,68,1,1,0,0,4,55,14,71,1,0,0,0,0,10,0,3,31,0,8,0,38,0,230,0,2,0,10,6,1,6,34,26,4,0,11,230,6,61,8,4,266,1,217,13,1,0,153,8,0,248,1,59,0,150,12,32,35,13,0,61,4,0,0,0,66,41,0,0,0,85,1,0,0,1,0,0,57,1,174,388,54,0,2,0,21,265,8,2,2,82,33,2,2,0,2,0,632,0,7,4,30,1,5,1,0,27,24,8,0,6,171,32,38,4,4,2,2,34,2,0,414,1,111,0,0,0,0,2
505,191,433,126,297,247,134,144,152,140,138,171,128,251,64,47,111,215,462,763,675,120,13,2,82,75,64,57,167,61,53,92,53,100,70,83,51,76,128,45,73,21,17,27,23,17,5,9,20,14,47,890,75,300,79,47,144,152,54,315,373,171,9,306,176,681,58,47,751,182,52,110,18,58,64,391,79,60,48,67,562,682,448,43,680,44,127,34,311,530,133,68,34,128,13,202,47,71,166,43,206,203,46,67,29,47,50,29,55,37,51,224,223,46,49,110,71,84,62,17,86,146,154,16,175,136,3,116,65,251,19,0,0,43,56,44,187,59,290,101,75,80,0,212,13,899,59,56,160,85,85,51,109,99,346,237,49,28,960,51,668,38,110,51,28,1311,521,115,273,328,51,0,92,49,27,402,1439,33,273,168,136,29,547,92,7,7,12,20,246,31,154,1,109,53,0,37,45,0,82,44,65,316,919,123,943,391,37,379,179,181,48,240,377,29,39,55,58,81,81,1465,21,49,55,70,56,174,48,108,102,95,56,23,106,719,756,168,26,68,48,82,151,30,55,885,103,101,2,44,57,41,72
506,42,25,48,26,8,6,21,16,15,3,10,7,11,2,3,24,12,24,26,9,1,0,0,8,6,2,5,29,6,4,6,2,12,4,2,4,10,17,1,4,1,2,2,1,3,5,5,1,3,8,174,0,58,2,9,13,21,24,123,4,56,1,0,36,125,37,21,58,24,25,14,0,13,16,62,2,1,43,1,137,176,104,5,65,21,22,6,67,0,22,13,2,28,8,2,8,23,12,8,28,2,16,13,0,5,5,29,0,21,0,34,36,7,0,12,3,12,35,2,0,1,1,0,6,3,0,1,0,39,0,0,0,6,18,11,40,1,0,74,0,32,1,18,7,121,15,18,0,4,9,4,14,4,87,77,49,9,99,13,15,6,22,0,4,109,71,10,0,16,12,2,21,13,2,161,301,9,25,49,0,12,13,1,42,0,0,2,4,1,18,0,1,7,0,5,1,0,69,3,3,19,104,9,5,1,15,42,39,29,2,8,52,0,11,13,10,6,44,275,8,2,20,11,3,12,14,99,39,5,1,4,0,68,75,5,1,4,20,40,24,13,11,177,19,26,2,7,17,3,4
507,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,2,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
508,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
509,0,0,0,3,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,4,4,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,2,0,0,1,2,2,5,0,4,5,4,2,0,3,0,6,1,1,2,3,3,1,3,0,5,2,4,10,9,7,1,6,1,2,0,4,2,0,0,0,0,0,0,7,4,4,3,3,1,1,1,0,0,0,0,0,0,4,0,2,0,1,1,1,0,3,0,2,0,8,1,2,0,0,0,1,3,6,0,0,1,0,0,1,0,2,1,1,1,0,1,1,12,0,0,2,0,2,1,3,0,0,0,0,0,11,2,2,1,2,0,0,7,17,0,0,1,1,0,1,2,0,4,28,1,4,0,4,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,22,0,0,0,0,11,0,0,0,1,4,3,0,1,0,0,1,10,10,3,2,1,0,0,1,6,0,4,0,0,1,13,8,2,0,1,1,3,0,2,1,5,1,2,0,0,0,1,1
510,0,0,1,0,0,1,3,0,0,1,1,0,4,3,3,0,0,0,0,0,3,0,1,0,1,1,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,31,0,5,3,1,2,0,0,4,0,4,0,0,1,0,1,1,15,0,0,4,0,1,0,2,0,1,0,0,6,16,16,1,7,1,3,3,14,8,0,3,0,0,2,0,2,2,1,1,5,0,0,0,0,0,2,3,0,3,0,7,4,1,4,1,0,2,13,0,0,0,1,0,6,0,0,2,0,5,0,0,0,2,1,0,10,0,0,1,2,3,0,1,2,21,0,2,7,0,4,1,0,0,6,8,0,0,11,1,0,4,3,3,3,5,22,4,0,10,0,0,0,0,0,10,36,0,18,0,0,0,0,1,4,0,4,20,0,0,0,0,0,0,0,0,2,0,0,1,0,0,42,0,0,0,3,10,0,11,2,0,7,0,0,6,4,2,2,26,0,2,3,6,1,15,0,0,3,0,3,0,0,8,4,0,1,12,0,9,0,0,5,13,3,1,1,4,2,0,2
511,0,0,0,1,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,12,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,18,0,3,0,1,2,3,0,9,0,2,7,0,0,5,0,1,9,0,2,2,5,0,0,4,0,1,0,4,10,16,10,0,4,0,0,0,8,0,0,0,1,0,5,0,2,4,1,2,2,0,0,1,0,1,1,0,0,0,4,6,15,0,3,1,5,0,7,0,4,0,0,0,1,0,0,1,2,5,6,0,0,1,0,0,7,0,3,2,2,1,0,2,0,15,0,0,2,2,0,2,1,1,4,6,0,1,13,1,6,4,3,1,1,8,13,4,0,1,0,0,0,0,0,4,18,0,12,0,4,16,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,24,1,0,0,1,4,0,2,0,1,9,6,1,1,1,1,0,17,11,3,0,1,1,0,3,0,1,0,0,0,6,5,1,5,0,2,2,1,5,1,7,19,1,1,0,2,1,2,1
512,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
514,33,39,18,25,27,10,7,36,10,8,6,2,21,22,28,76,1,9,8,1,6,3,0,6,1,8,13,10,5,4,11,3,20,2,1,4,10,7,0,2,0,0,0,0,5,1,1,0,1,5,265,19,49,19,20,28,33,24,125,2,42,21,15,51,53,19,9,134,38,14,18,37,16,10,64,0,40,23,16,137,169,174,11,158,26,28,23,99,14,14,34,33,0,6,0,16,24,33,7,56,21,16,10,3,9,13,10,54,14,21,43,120,15,23,27,0,30,32,8,59,7,10,6,55,17,8,20,66,96,52,4,0,36,21,15,72,2,10,48,58,26,0,60,1,322,17,17,10,32,80,53,41,38,85,74,34,20,157,51,35,33,42,4,31,118,206,24,2,47,7,0,13,3,11,124,473,15,127,12,53,12,88,23,0,4,13,20,4,9,7,0,9,8,0,7,5,0,43,4,17,0,391,17,1,5,28,124,1,28,30,54,91,24,18,25,23,18,35,440,26,25,16,14,14,15,39,32,29,20,2,13,19,208,161,6,47,85,12,30,10,6,17,202,26,31,4,35,7,41,8
516,0,0,0,0,1,1,0,0,0,0,1,0,2,0,0,0,0,0,3,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,2,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,2,2,0,0,0,0,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,0,0,3,0,0,2,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,1,1,4,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,4,0,0,0,0,0,0,2,0,0,0,0,0,0,0
517,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,4,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,2,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,1,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,3,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0
518,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,4,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,4,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
520,0,0,0,1,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,0,0,0,0,2,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
521,4,0,0,2,0,0,0,1,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,1,0,0,2,0,0,8,2,0,1,2,2,11,0,1,0,0,1,0,2,0,1,0,3,3,3,3,1,4,0,1,0,2,0,0,0,0,0,3,0,1,3,0,2,4,1,1,1,1,3,0,0,1,0,3,2,2,0,1,1,0,0,0,0,4,0,0,3,0,0,0,3,1,5,4,0,0,0,0,1,0,2,1,2,0,2,0,1,0,8,0,0,2,0,0,0,0,0,4,0,0,2,4,0,3,0,1,0,0,2,5,0,0,0,1,0,2,2,0,4,7,0,6,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,6,1,0,0,1,1,0,0,0,1,1,1,1,0,0,0,0,5,1,4,1,0,1,2,2,0,0,1,0,0,0,2,3,2,2,0,0,0,1,0,0,4,5,0,0,1,0,0,0
527,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,3,0,0,0,3,0,0,0,0,1,0,0,3,0,2,0,9,1,1,1,2,0,1,1,0,3,0,4,1,3,2,0,1,0,0,0,4,0,0,0,0,0,0,0,1,0,0,1,2,0,0,0,0,2,1,0,0,0,4,0,1,0,1,1,0,2,1,0,9,0,0,0,1,0,0,0,1,1,3,0,0,0,1,0,6,0,0,2,0,2,0,0,0,6,0,0,2,2,2,0,1,0,2,7,0,0,4,2,1,1,1,0,3,2,7,0,0,2,2,0,1,2,0,5,14,0,1,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,8,0,0,0,1,0,0,0,0,1,2,1,1,0,1,1,0,6,0,0,0,0,0,0,1,2,0,0,0,1,0,6,5,1,2,3,0,1,0,0,2,4,1,2,0,0,0,3,1
529,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,0,0,0,1,3,2,4,7,0,2,0,0,0,0,0,0,11,0,0,0,0,0,0,4,0,0,1,0,2,16,0,0,10,0,0,3,7,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,3,0,0,0,1,1,5,0,11,0,0,12,0,5,0,0,1,3,0,0,0,0,2,0,0,0,0,0,0,3,1,0,12,0,1,0,4,7,13,1,0,0,0,0,1,0,3,12,0,0,1,16,2,0,0,4,0,3,0,11,0,0,1,0,0,0,0,1,11,19,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,15,0,0,0,1,0,0,3,0,0,6,2,1,2,0,1,0,8,0,0,6,0,0,19,6,18,4,0,3,0,0,4,1,0,0,0,41,1,0,1,7,14,0,1,0,0,0,1,0
530,7,31,0,20,8,26,31,25,10,7,8,4,15,5,0,0,0,0,0,0,0,0,0,8,8,5,5,5,4,4,5,7,3,3,34,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,66,0,0,0,2,1,21,5,65,0,23,0,131,10,0,1,3,33,17,0,24,1,5,0,23,0,13,5,4,49,46,27,1,71,0,3,2,1,1,5,1,0,0,28,0,3,0,1,0,7,0,2,6,12,18,1,0,6,0,0,19,15,0,2,0,0,0,8,5,0,54,4,1,1,0,7,9,3,19,0,0,0,33,5,15,14,2,0,1,0,9,0,13,0,107,0,0,41,0,3,3,20,22,13,2,0,7,50,2,0,6,5,0,0,103,27,1,0,10,0,0,0,7,0,7,94,3,17,7,0,111,2,11,0,0,23,3,0,8,29,0,6,18,0,3,5,0,0,2,28,0,131,31,0,0,0,53,1,14,0,3,16,0,0,1,2,0,6,97,0,0,1,7,7,0,0,0,19,9,0,3,19,63,47,0,5,43,0,15,0,0,9,40,13,16,2,8,0,33,14
532,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,2,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
536,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,1,0,2,0,0,0,5,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,2,3,3,3,6,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,18,0,0,1,0,0,3,1,2,2,1,3,0,0,2,0,5,0,0,3,1,0,0,0,1,0,2,0,0,0,0,0,2,1,2,2,0,1,0,3,0,7,0,0,3,1,0,2,0,0,2,1,0,0,9,1,3,0,1,0,0,0,1,1,0,0,0,0,5,0,0,2,9,0,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,3,0,0,0,1,0,0,4,0,3,0,0,0,0,0,0,1,1,0,0,0,2,1,2,3,1,1,0,0,0,1,6,4,0,0,0,0,2,0
538,0,0,0,0,0,0,0,1,0,0,0,0,0,4,3,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,1,0,1,0,2,2,2,0,3,0,0,3,0,1,1,2,0,1,0,1,0,1,1,0,1,0,1,2,3,4,0,1,0,1,1,5,0,0,0,0,0,0,0,1,3,1,0,0,0,0,0,0,0,1,2,0,1,1,0,2,0,0,2,0,0,2,0,3,0,0,0,5,0,0,0,3,1,0,0,0,1,0,0,0,0,0,2,0,1,0,1,0,10,1,0,1,1,0,0,1,0,14,0,1,0,5,1,1,0,1,1,0,2,6,2,0,1,0,0,0,0,1,2,10,0,2,0,3,5,0,0,0,0,16,0,0,0,1,0,1,2,0,2,0,0,2,1,0,0,8,2,0,0,0,1,0,2,0,2,1,2,2,0,0,0,0,13,0,0,0,0,2,1,2,0,1,1,1,3,0,3,5,1,2,2,1,3,0,0,0,6,1,2,0,0,1,0,0
539,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,3,0,2,4,8,2,8,0,0,0,0,0,0,0,1,8,0,0,1,0,2,0,7,0,1,1,0,2,12,5,2,4,2,1,2,9,0,0,0,1,0,0,0,8,3,0,1,1,0,0,0,2,0,2,2,0,1,0,7,3,4,1,0,0,0,0,0,18,0,0,0,4,2,0,0,4,4,0,0,0,0,1,0,3,0,1,9,2,3,0,3,4,9,0,0,1,0,4,3,0,0,8,0,0,0,8,2,0,1,2,0,4,7,17,1,0,0,0,0,0,0,3,11,23,0,5,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,1,5,0,0,0,0,0,23,1,0,0,1,1,0,1,0,3,3,5,1,0,2,0,1,18,0,0,3,0,0,0,9,25,8,0,0,1,2,0,1,0,2,1,1,3,0,1,0,21,4,0,0,0,2,3,0
